year,AR,AU,BR,CA,CH,CL,CN,CO,CZ,DK,GB,GR,HK,HR,HU,ID,IL,IN,IS,JP,KR,KW,MA,MK,MX,MY,NO,NZ,PE,PH,PL,RO,RS,RU,SA,SE,TH,TR,US,XM,ZA
2000,428.0,505.9,1582.1,900.6,266.6,145.4,3741.8,264.9,167.5,153.0,1568.4,203.4,188.1,47.7,121.2,1002.4,161.9,2148.4,8.5,3512.9,904.3,114.7,112.8,12.5,1154.4,299.2,165.3,82.9,133.3,268.0,410.2,131.3,48.2,1000.6,786.9,262.9,459.3,610.0,10251.0,8247.3,381.8
2001,418.3,533.7,1640.2,938.1,276.9,153.3,4144.5,275.4,180.9,157.9,1656.5,220.5,193.4,50.1,134.7,1062.3,166.0,2302.7,9.2,3604.9,968.4,117.6,124.2,12.3,1175.1,307.5,170.1,87.4,137.2,282.4,427.4,144.3,51.0,1074.6,807.4,266.4,485.8,597.2,10581.9,8666.0,400.9
2002,378.5,566.9,1716.6,971.0,286.2,160.7,4597.6,286.7,187.1,164.9,1731.7,239.7,199.7,55.0,147.6,1127.4,171.3,2427.5,9.5,3703.0,1056.4,123.0,130.9,12.9,1194.4,329.1,172.2,92.0,146.9,297.4,452.7,155.6,56.7,1167.9,814.3,276.6,523.7,613.8,10929.1,9054.9,422.2
2003,420.1,594.9,1770.5,1023.6,287.8,171.6,5162.6,303.8,199.8,166.4,1814.1,254.1,209.9,58.9,156.6,1204.6,165.1,2670.0,9.6,3798.6,1097.7,147.2,141.7,13.4,1242.5,355.1,176.4,96.6,156.0,318.7,471.0,163.1,60.0,1338.7,903.2,284.8,572.4,642.7,11456.4,9262.6,443.2
2004,470.4,634.1,1922.8,1083.7,300.6,188.0,5839.0,328.6,214.0,178.4,1929.2,272.0,234.2,63.2,164.2,1299.2,177.4,2959.0,10.5,3978.0,1185.6,166.6,152.1,14.6,1321.4,389.4,196.2,102.7,168.2,348.8,512.1,192.8,65.0,1473.3,1007.6,304.0,624.8,738.1,12217.2,9684.5,475.9
2005,528.0,667.6,2046.6,1171.3,313.4,205.2,6711.8,355.2,225.8,185.6,1983.1,274.7,259.4,66.6,172.4,1416.2,177.9,3293.6,11.3,4148.0,1261.4,190.1,161.9,16.0,1403.1,423.0,222.8,106.1,184.3,377.5,531.9,204.7,69.9,1696.7,1100.9,308.8,671.3,818.3,13039.2,10087.8,516.7
2006,588.1,713.5,2193.3,1241.7,351.6,256.1,7795.8,390.8,244.9,203.3,2121.7,309.4,286.3,76.0,184.9,1540.2,185.9,3668.8,12.2,4343.3,1354.9,210.6,179.9,17.7,1559.5,460.4,255.4,116.0,204.3,409.8,579.9,244.9,77.5,2133.2,1172.5,342.1,726.4,949.7,13815.6,10972.3,562.5
2007,658.5,764.5,2389.4,1301.5,391.0,278.4,9140.0,428.4,270.5,213.6,2188.3,319.3,313.0,84.3,192.0,1682.3,203.0,4056.9,13.1,4526.0,1472.9,229.3,191.1,19.1,1635.1,502.6,268.0,123.9,227.7,448.4,641.7,286.2,86.3,2377.5,1230.9,373.4,786.6,1049.0,14474.2,11680.4,608.7
2008,698.4,799.3,2559.5,1342.4,416.9,275.8,10216.9,451.0,290.1,227.8,2283.4,337.2,325.8,90.6,207.9,1817.8,205.0,4262.7,14.0,4564.6,1531.0,239.5,205.9,21.5,1730.7,537.1,300.5,127.3,253.3,476.9,700.5,344.7,96.5,2878.2,1332.9,386.4,815.6,1146.9,14769.9,12186.7,640.2
2009,661.1,877.1,2572.1,1307.0,417.2,271.3,11246.9,459.0,289.4,223.8,2197.2,332.8,319.8,87.6,207.4,1913.7,210.0,4626.2,13.4,4333.5,1515.7,223.9,214.9,22.6,1701.4,532.2,274.0,132.3,257.7,486.8,736.3,338.9,95.4,2768.6,1326.8,372.8,815.0,1120.3,14478.1,11934.0,634.3
2010,736.9,870.4,2799.3,1363.7,433.9,307.9,12589.2,485.4,294.9,238.8,2300.3,309.6,345.6,86.5,216.9,2057.5,224.3,5080.3,12.8,4566.7,1641.2,221.3,225.2,23.3,1807.7,578.7,290.6,136.2,282.5,528.8,798.6,351.4,97.1,2927.0,1410.6,393.4,886.9,1277.7,15049.0,12292.9,661.5
2011,797.3,941.7,2970.6,1430.8,462.1,349.1,14064.8,529.9,306.9,247.6,2365.2,285.3,369.7,90.7,229.3,2229.5,242.9,5456.9,13.2,4663.8,1695.1,247.6,242.5,24.1,1989.9,621.9,316.5,143.5,306.6,560.6,868.2,378.9,103.5,3259.3,1609.0,418.9,912.8,1463.5,15599.7,12852.7,696.5
