date,india_mfg_pmi,india_svc_pmi,india_composite_pmi,india_gst_revenue,india_bank_credit_yoy,india_unemployment,india_fpi_flows,india_cpi_yoy,india_core_cpi_yoy,india_food_cpi_yoy,,
2024-01,56.5,61.8,59.68,1.72,16.5,,-0.79,5.1,3.6,8.3,,
2024-02,56.9,60.6,59.12,1.68,16.3,,3.83,5.09,3.4,8.66,,
2024-03,59.1,61.2,60.36,1.78,16,,6.28,4.85,3.3,8.52,,
2024-04,58.8,60.8,60,2.1,16.3,,-1.95,4.83,3.23,8.7,,
2024-05,57.5,60.2,59.12,1.73,15.9,,-1.54,4.75,3.12,8.69,,
2024-06,58.3,60.5,59.62,1.74,15.2,,5.01,5.08,3.15,9.36,,
2024-07,58.1,60.3,59.42,1.82,13.7,,5.84,3.6,3.4,5.42,,
2024-08,57.5,60.9,59.54,1.75,13.6,,3.04,3.65,3.5,5.66,,
2024-09,56.5,57.7,57.22,1.73,14.4,,11.16,5.49,3.7,9.24,,
2024-10,57.5,58.5,58.1,1.87,11.5,,-11.47,6.21,3.8,10.87,,
2024-11,56.5,58.4,57.64,1.82,11.8,,-2.54,5.48,3.6,8.7,,
2024-12,56.4,59.3,58.14,1.77,11.1,,3.07,5.22,3.5,8.39,,
2025-01,57.7,56.5,56.98,1.96,11,,-8.96,4.26,3.3,5.1,,
2025-02,56.3,59,57.92,1.5,10.6,,-2.8,3.61,3.25,3.75,,
2025-03,58.1,58.5,58.34,1.96,11.2,,3.85,3.34,3.2,3.55,,
2025-04,58.2,58.7,58.5,2.37,11,5.1,-2.34,3.16,3.25,3.3,,
2025-05,57.5,58.8,58.28,2.01,10.8,5.6,3.64,2.82,3.4,2.9,,
2025-06,58.3,60.4,59.56,1.85,9.9,5.6,-0.9,2.1,3.65,1.95,,
2025-07,58.9,60.5,59.86,1.96,10.5,5.2,-0.63,1.55,3.8,0.85,,
2025-08,59.3,62.9,61.46,1.86,10.9,5.1,-2.34,2.07,4.11,0.55,,
2025-09,57.7,60.9,59.62,1.89,10.4,5.2,-1.41,1.54,4.48,-0.92,,
2025-10,59.2,58.9,59.02,1.96,11.2,5.2,4.03,0.25,4.4,-5.02,,
2025-11,56.6,59.8,58.52,1.7,11.4,4.7,0.32,0.71,4.34,-3.91,,
2025-12,55,58,56.8,1.75,14.4,4.8,-4.29,1.33,4.63,-2.71,,
2026-01,55.4,58.6,57.32,1.93,14.6,5,-3.24,2.75,2.5,2.13,,
