symbol,quarter,promoter,public
ADANIENT,2015-12-31,75.0,25.0
AEGISLOG,2015-12-31,62.93,37.07
ASAL,2015-12-31,75.0,25.0
AUTOAXLES,2015-12-31,71.04,28.96
BALAJITELE,2015-12-31,47.29,52.71
BBTC,2015-12-31,74.02,25.98
BCG,2015-12-31,34.59,65.41
BFUTILITIE,2015-12-31,66.39,33.61
BHARATFORG,2015-12-31,47.24,52.76
CGCL,2015-12-31,73.92,26.08
ELGIRUBCO,2015-12-31,62.65,37.35
GENUSPOWER,2015-12-31,50.58,49.42
GMBREW,2015-12-31,74.43,25.57
HEXATRADEX,2015-12-31,56.91,43.09
IMPAL,2015-12-31,30.72,69.28
JINDALSAW,2015-12-31,61.16,38.84
KAMATHOTEL,2015-12-31,60.9,39.1
LINCOLN,2015-12-31,34.97,65.03
MAGNUM,2015-12-31,53.15,46.85
MURUDCERA,2015-12-31,61.34,38.66
MUTHOOTCAP,2015-12-31,74.93,25.07
NMDC,2015-12-31,80.0,20.0
RECLTD,2015-12-31,60.64,39.36
SANGAMIND,2015-12-31,47.35,52.65
SOBHA,2015-12-31,60.58,39.42
SURANASOL,2015-12-31,75.0,25.0
BBTC,2016-03-31,74.02,25.98
BCG,2016-03-31,34.38,65.62
BFINVEST,2016-03-31,72.91,27.09
BFUTILITIE,2016-03-31,66.39,33.61
BHARATFORG,2016-03-31,47.24,52.76
HEXATRADEX,2016-03-31,56.91,43.09
JINDALSAW,2016-03-31,61.16,38.84
LINCOLN,2016-03-31,34.93,65.07
MAGNUM,2016-03-31,53.15,46.85
MITCON,2016-03-31,0.0,100.0
MURUDCERA,2016-03-31,61.34,38.66
SOBHA,2016-03-31,60.58,39.42
BBTC,2016-06-30,74.02,25.98
BCG,2016-06-30,32.84,67.16
BFINVEST,2016-06-30,73.46,26.54
BFUTILITIE,2016-06-30,66.39,33.61
BHARATFORG,2016-06-30,47.24,52.76
HEXATRADEX,2016-06-30,56.91,43.09
JINDALSAW,2016-06-30,63.01,36.99
LINCOLN,2016-06-30,34.93,65.07
MAGNUM,2016-06-30,53.15,46.85
MURUDCERA,2016-06-30,61.34,38.66
SOBHA,2016-06-30,60.58,39.42
BBTC,2016-09-30,74.02,25.98
BCG,2016-09-30,29.37,70.63
BFINVEST,2016-09-30,73.46,26.54
BFUTILITIE,2016-09-30,66.39,33.61
BHARATFORG,2016-09-30,47.24,52.76
CAMLINFINE,2016-09-30,41.14,58.86
HEXATRADEX,2016-09-30,56.91,43.09
JINDALSAW,2016-09-30,63.01,36.99
LINCOLN,2016-09-30,34.91,65.09
MAGNUM,2016-09-30,53.15,46.85
MITCON,2016-09-30,0.0,100.0
MURUDCERA,2016-09-30,61.34,38.66
SOBHA,2016-09-30,60.24,39.76
TECHIN,2016-09-30,34.04,65.96
BBTC,2016-12-31,74.02,25.98
BCG,2016-12-31,29.02,70.98
BFINVEST,2016-12-31,73.46,26.54
BFUTILITIE,2016-12-31,57.19,42.81
BHARATFORG,2016-12-31,46.24,53.76
CAMLINFINE,2016-12-31,41.14,58.86
HEXATRADEX,2016-12-31,56.91,43.09
JINDALSAW,2016-12-31,63.01,36.99
LINCOLN,2016-12-31,32.47,67.53
MAGNUM,2016-12-31,53.15,46.85
MURUDCERA,2016-12-31,61.34,38.66
SOBHA,2016-12-31,60.24,39.76
TECHIN,2016-12-31,34.04,65.96
BBTC,2017-03-31,74.02,25.98
BCG,2017-03-31,27.63,72.37
BFINVEST,2017-03-31,73.46,26.54
BFUTILITIE,2017-03-31,56.72,43.28
BHARATFORG,2017-03-31,46.24,53.76
CAMLINFINE,2017-03-31,40.95,59.05
HEXATRADEX,2017-03-31,56.91,43.09
JINDALSAW,2017-03-31,63.01,36.99
JITFINFRA,2017-03-31,63.01,36.99
LINCOLN,2017-03-31,32.46,67.54
MAGNUM,2017-03-31,53.15,46.85
MITCON,2017-03-31,0.0,100.0
MURUDCERA,2017-03-31,63.26,36.74
SOBHA,2017-03-31,60.24,39.76
BBTC,2017-06-30,74.02,25.98
BCG,2017-06-30,27.26,72.74
BFINVEST,2017-06-30,73.46,26.54
BFUTILITIE,2017-06-30,56.72,43.28
BHARATFORG,2017-06-30,46.24,53.76
CAMLINFINE,2017-06-30,40.96,59.04
ERIS,2017-06-30,55.93,44.07
HEXATRADEX,2017-06-30,56.91,43.09
JINDALSAW,2017-06-30,63.01,36.99
JITFINFRA,2017-06-30,63.01,36.99
LINCOLN,2017-06-30,32.46,67.54
MAGNUM,2017-06-30,53.15,46.85
MURUDCERA,2017-06-30,63.26,36.74
SOBHA,2017-06-30,56.08,43.92
UPL,2017-06-30,27.86,72.14
A2ZINFRA,2017-09-30,35.76,64.24
BBTC,2017-09-30,74.02,25.98
BCG,2017-09-30,24.75,75.25
BFINVEST,2017-09-30,73.46,26.54
BFUTILITIE,2017-09-30,56.72,43.28
BHARATFORG,2017-09-30,46.24,53.76
BVCL,2017-09-30,55.63,44.37
CAMLINFINE,2017-09-30,40.93,59.07
ERIS,2017-09-30,55.93,44.07
HEXATRADEX,2017-09-30,56.91,43.09
JINDALSAW,2017-09-30,63.01,36.99
JITFINFRA,2017-09-30,63.01,36.99
LINCOLN,2017-09-30,32.47,67.53
MAGNUM,2017-09-30,53.15,46.85
MITCON,2017-09-30,0.0,100.0
MURUDCERA,2017-09-30,65.09,34.91
SOBHA,2017-09-30,56.08,43.92
UPL,2017-09-30,27.86,72.14
A2ZINFRA,2017-12-31,35.76,64.24
BBTC,2017-12-31,74.02,25.98
BCG,2017-12-31,22.11,77.89
BFINVEST,2017-12-31,73.46,26.54
BFUTILITIE,2017-12-31,56.72,43.28
BHARATFORG,2017-12-31,46.24,53.76
CAMLINFINE,2017-12-31,35.05,64.95
ERIS,2017-12-31,55.93,44.07
HEXATRADEX,2017-12-31,56.91,43.09
JINDALSAW,2017-12-31,63.01,36.99
JITFINFRA,2017-12-31,63.01,36.99
LINCOLN,2017-12-31,32.72,67.28
MAGNUM,2017-12-31,53.15,46.85
MURUDCERA,2017-12-31,65.09,34.91
SOBHA,2017-12-31,55.94,44.06
UPL,2017-12-31,27.84,72.16
A2ZINFRA,2018-03-31,29.56,70.44
BBTC,2018-03-31,74.02,25.98
BCG,2018-03-31,20.01,79.99
BFINVEST,2018-03-31,74.13,25.87
BFUTILITIE,2018-03-31,56.73,43.27
BHARATFORG,2018-03-31,46.24,53.76
CAMLINFINE,2018-03-31,22.37,77.63
DSKULKARNI,2018-03-31,46.84,53.16
ERIS,2018-03-31,55.93,44.07
HEXATRADEX,2018-03-31,56.91,43.09
JINDALSAW,2018-03-31,63.01,36.99
JITFINFRA,2018-03-31,63.01,36.99
LINCOLN,2018-03-31,31.43,68.57
MAGNUM,2018-03-31,53.15,46.85
MITCON,2018-03-31,0.0,100.0
MSPL,2018-03-31,41.62,58.38
MURUDCERA,2018-03-31,65.09,34.91
NIRAJISPAT,2018-03-31,74.58,25.42
SOBHA,2018-03-31,55.94,44.06
UPL,2018-03-31,27.72,72.28
A2ZINFRA,2018-06-30,29.56,70.44
BBTC,2018-06-30,74.02,25.98
BCG,2018-06-30,19.25,80.75
BFINVEST,2018-06-30,74.13,25.87
BFUTILITIE,2018-06-30,56.73,43.27
BHARATFORG,2018-06-30,46.24,53.76
CAMLINFINE,2018-06-30,22.39,77.61
DSKULKARNI,2018-06-30,46.84,53.16
ERIS,2018-06-30,55.93,44.07
HEXATRADEX,2018-06-30,56.91,43.09
JAYNECOIND,2018-06-30,70.98,29.02
JINDALSAW,2018-06-30,63.01,36.99
JITFINFRA,2018-06-30,63.01,36.99
KSOILS,2018-06-30,7.54,92.46
LINCOLN,2018-06-30,31.68,68.32
MAGNUM,2018-06-30,53.15,46.85
MSPL,2018-06-30,41.62,58.38
MURUDCERA,2018-06-30,66.83,33.17
NIRAJISPAT,2018-06-30,74.58,25.42
SOBHA,2018-06-30,55.94,44.06
UPL,2018-06-30,27.75,72.25
A2ZINFRA,2018-09-30,29.56,70.44
ADANIENT,2018-09-30,74.92,25.08
BBTC,2018-09-30,74.02,25.98
BCG,2018-09-30,19.21,80.79
BFINVEST,2018-09-30,74.13,25.87
BFUTILITIE,2018-09-30,56.73,43.27
BHARATFORG,2018-09-30,46.25,53.75
BHARATIDIL,2018-09-30,40.58,59.42
CAMLINFINE,2018-09-30,22.49,77.51
DSKULKARNI,2018-09-30,46.84,53.16
ERIS,2018-09-30,55.92,44.08
JAYNECOIND,2018-09-30,70.98,29.02
KSOILS,2018-09-30,7.54,92.46
LINCOLN,2018-09-30,31.68,68.32
MAGNUM,2018-09-30,53.15,46.85
MITCON,2018-09-30,0.0,100.0
MSPL,2018-09-30,41.62,58.38
MURUDCERA,2018-09-30,66.83,33.17
NIRAJISPAT,2018-09-30,74.58,25.42
SOBHA,2018-09-30,55.94,44.06
UPL,2018-09-30,27.91,72.09
A2ZINFRA,2018-12-31,29.24,70.76
BBTC,2018-12-31,74.04,25.96
BCG,2018-12-31,18.51,81.49
BFINVEST,2018-12-31,74.13,25.87
BFUTILITIE,2018-12-31,56.73,43.27
BHARATFORG,2018-12-31,46.25,53.75
CAMLINFINE,2018-12-31,22.66,77.34
DSKULKARNI,2018-12-31,46.84,53.16
ERIS,2018-12-31,56.04,43.96
JAYNECOIND,2018-12-31,70.98,29.02
KSOILS,2018-12-31,7.54,92.46
LINCOLN,2018-12-31,31.68,68.32
MAGNUM,2018-12-31,53.17,46.83
MSPL,2018-12-31,41.62,58.38
MURUDCERA,2018-12-31,66.83,33.17
NIRAJISPAT,2018-12-31,74.58,25.42
SOBHA,2018-12-31,55.97,44.03
UPL,2018-12-31,27.92,72.08
XLENERGY,2018-12-31,22.23,77.77
A2ZINFRA,2019-03-31,29.24,70.76
ATLASCYCLE,2019-03-31,43.39,56.61
BBTC,2019-03-31,74.04,25.96
BCG,2019-03-31,18.32,81.68
BFINVEST,2019-03-31,74.13,25.87
BFUTILITIE,2019-03-31,56.73,43.27
BHARATFORG,2019-03-31,46.25,53.75
CAMLINFINE,2019-03-31,22.66,77.34
DSKULKARNI,2019-03-31,46.84,53.16
ERIS,2019-03-31,56.1,43.9
GODREJPROP,2019-03-31,70.83,29.17
JAYNECOIND,2019-03-31,70.98,29.02
KSOILS,2019-03-31,7.54,92.46
LINCOLN,2019-03-31,31.68,68.32
MAGNUM,2019-03-31,53.17,46.83
MCLEODRUSS,2019-03-31,42.71,57.29
MITCON,2019-03-31,0.0,100.0
MSPL,2019-03-31,41.62,58.38
MURUDCERA,2019-03-31,66.83,33.17
NIRAJISPAT,2019-03-31,74.58,25.42
PUNJLLOYD,2019-03-31,13.81,86.19
SOBHA,2019-03-31,55.97,44.03
UPL,2019-03-31,27.89,72.11
WSI,2019-03-31,37.69,62.31
A2ZINFRA,2019-06-30,28.67,71.33
ANUP,2019-06-30,41.72,58.28
ATLASCYCLE,2019-06-30,43.39,56.61
BBTC,2019-06-30,74.04,25.96
BCG,2019-06-30,17.97,82.03
BFINVEST,2019-06-30,74.13,25.87
BFUTILITIE,2019-06-30,56.73,43.27
BHARATFORG,2019-06-30,46.25,53.75
CAMLINFINE,2019-06-30,22.66,77.34
DSKULKARNI,2019-06-30,46.84,53.16
ERIS,2019-06-30,56.23,43.77
EROSMEDIA,2019-06-30,62.39,37.61
GODREJPROP,2019-06-30,64.45,35.55
JAYNECOIND,2019-06-30,70.98,29.02
KSOILS,2019-06-30,7.54,92.46
LINCOLN,2019-06-30,31.68,68.32
MAGNUM,2019-06-30,53.18,46.82
MSPL,2019-06-30,41.62,58.38
MURUDCERA,2019-06-30,66.83,33.17
NIPPOBATRY,2019-06-30,70.68,29.32
NIRAJISPAT,2019-06-30,74.58,25.42
PRAKASH,2019-06-30,42.1,57.9
PUNJLLOYD,2019-06-30,13.81,86.19
UPL,2019-06-30,27.89,72.11
WILLAMAGOR,2019-06-30,62.01,37.99
WSI,2019-06-30,37.69,62.31
A2ZINFRA,2019-09-30,28.67,71.33
ATLASCYCLE,2019-09-30,43.39,56.61
BBTC,2019-09-30,73.83,26.17
