date,rate,source
2019-10-25,2.55,https://www.pbc.gov.cn/en/3688229/3688335/3730267/5844654/2025112114585023741/index.html
2019-11-18,2.50,https://www.pbc.gov.cn/en/3688229/3688335/3730267/5844654/2025112114585151880/index.html
2020-02-03,2.40,https://www.pbc.gov.cn/en/3688229/3688335/3730267/5844654/2025112114585214223/index.html
2020-03-30,2.20,https://www.pbc.gov.cn/en/3688229/3688335/3730267/5844654/2025112114585399837/index.html
2022-01-17,2.10,https://www.pbc.gov.cn/en/3688229/3688335/3730267/5844654/2025112114590945888/index.html
2022-08-15,2.00,https://www.pbc.gov.cn/en/3688229/3688335/3730267/5844654/2025112114591443319/index.html
2023-06-13,1.90,https://www.pbc.gov.cn/en/3688229/3688335/3730267/5844654/2025112114592134615/index.html
2023-08-15,1.80,https://www.pbc.gov.cn/en/3688229/3688335/3730267/5844654/2025112114592354885/index.html
2024-07-22,1.70,https://www.pbc.gov.cn/en/3688229/3688335/3730267/5844654/2025112114593186160/index.html
2024-09-29,1.50,https://www.pbc.gov.cn/en/3688229/3688335/3730267/5844654/2025112114593296142/index.html
2025-05-08,1.40,https://www.pbc.gov.cn/en/3688229/3688335/3730267/5844654/2025112114593978932/index.html
