month,country,field,value,source
2026-04,JP,cpi_yoy,1.4,"Statistics Bureau of Japan, national CPI all items, % YoY"
2026-05,JP,cpi_yoy,1.5,"Statistics Bureau of Japan, national CPI all items, % YoY"
2026-06,JP,cpi_yoy,1.6,"Statistics Bureau of Japan, national CPI all items, % YoY"
2026-07,CN,mfg_pmi,50.9,S&P Global China General Manufacturing PMI
2026-07,CN,unemployment,5.2,NBS surveyed urban unemployment rate
2026-07,EA,mfg_pmi,51.9,HCOB Eurozone Manufacturing PMI
2026-07,JP,cpi_yoy,1.9,"Statistics Bureau of Japan, national CPI all items, % YoY"
2026-07,JP,mfg_pmi,54.5,S&P Global Japan Manufacturing PMI
2026-07,UK,mfg_pmi,51.9,S&P Global UK Manufacturing PMI
2026-07,US,mfg_pmi,53.9,S&P Global US Manufacturing PMI
2026-08,CN,mfg_pmi,51.5,S&P Global China General Manufacturing PMI
2026-08,CN,unemployment,5.3,NBS surveyed urban unemployment rate
2026-08,EA,mfg_pmi,52.8,HCOB Eurozone Manufacturing PMI
2026-08,JP,mfg_pmi,54.9,S&P Global Japan Manufacturing PMI
2026-08,UK,mfg_pmi,51.7,S&P Global UK Manufacturing PMI
2026-08,US,mfg_pmi,53.9,S&P Global US Manufacturing PMI
2026-09,CN,ten_year,1.68,"ChinaBond 10-year government bond yield, month-end"
